Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
32890,32890,33300,33300,230,0.7%,2015/03/31,1394/01/11
33190,32880,33390,33070,170,0.51%,2015/03/30,1394/01/10
33110,32990,33340,33240,140,0.42%,2015/03/29,1394/01/09
32970,32610,33180,33100,125,0.38%,2015/03/28,1394/01/08
33925,32886,34165,33225,705,2.12%,2015/03/25,1394/01/05
33577,33131,33916,33436,56,0.17%,2015/03/18,1393/12/27
33530,33350,33760,33490,40,0.12%,2015/03/17,1393/12/26
32870,32870,33860,33530,720,2.19%,2015/03/16,1393/12/25
32440,32400,33150,32810,400,1.23%,2015/03/15,1393/12/24
32180,31600,32670,32410,580,1.79%,2015/03/14,1393/12/23
33170,32950,33170,32990,250,0.76%,2015/03/12,1393/12/21
33410,32960,33410,33240,120,0.36%,2015/03/11,1393/12/20
33800,33330,33800,33360,480,1.44%,2015/03/10,1393/12/19
33980,33820,33980,33840,120,0.35%,2015/03/09,1393/12/18
34050,33960,34060,33960,100,0.29%,2015/03/08,1393/12/17
34020,33930,34060,34060,28,0.08%,2015/03/07,1393/12/16
34153,33378,34549,34032,98,0.29%,2015/03/04,1393/12/13
34180,34110,34200,34200,30,0.09%,2015/03/03,1393/12/12
34260,34070,34260,34170,80,0.23%,2015/03/02,1393/12/11
34250,34240,34290,34250,10,0.03%,2015/03/01,1393/12/10
34260,34190,34280,34260,50,0.15%,2015/02/28,1393/12/09
34310,34310,34310,34310,40,0.12%,2015/02/26,1393/12/07
34390,34300,34410,34350,10,0.03%,2015/02/25,1393/12/06
34350,34330,34450,34360,20,0.06%,2015/02/24,1393/12/05
34370,34290,34370,34340,10,0.03%,2015/02/23,1393/12/04
34200,34200,34410,34350,130,0.38%,2015/02/22,1393/12/03
34080,34060,34220,34220,93,0.27%,2015/02/21,1393/12/02
34172,33853,34575,34127,13,0.04%,2015/02/18,1393/11/29
34040,34010,34150,34140,120,0.35%,2015/02/17,1393/11/28
34200,33980,34200,34020,200,0.59%,2015/02/16,1393/11/27
34310,34190,34310,34220,80,0.23%,2015/02/15,1393/11/26
34310,34260,34320,34300,6,0.02%,2015/02/14,1393/11/25
34320,34007,34766,34306,16,0.05%,2015/02/11,1393/11/22
34290,33950,34670,34290,10,0.03%,2015/02/09,1393/11/20
34080,34080,34370,34310,220,0.65%,2015/02/08,1393/11/19
34160,33880,34160,34090,184,0.54%,2015/02/07,1393/11/18
34368,33591,34907,34274,46,0.13%,2015/02/04,1393/11/15
34550,34400,34560,34430,130,0.38%,2015/02/03,1393/11/14
34570,34540,34570,34560,-,-,2015/02/02,1393/11/13
34570,34540,34580,34560,10,0.03%,2015/02/01,1393/11/12
34590,34520,34620,34550,18,0.05%,2015/01/31,1393/11/11
34571,33893,34847,34568,8,0.02%,2015/01/28,1393/11/08
34590,34560,34670,34560,40,0.12%,2015/01/27,1393/11/07
34700,34600,34730,34600,90,0.26%,2015/01/26,1393/11/06
34640,34610,34900,34690,40,0.12%,2015/01/25,1393/11/05
34480,34480,34700,34650,135,0.39%,2015/01/24,1393/11/04
34602,33831,34875,34515,55,0.16%,2015/01/21,1393/11/01
34620,34420,34680,34610,130,0.38%,2015/01/20,1393/10/30
35110,34680,35110,34740,400,1.15%,2015/01/19,1393/10/29
34720,34720,35210,35140,470,1.36%,2015/01/18,1393/10/28
34490,34490,34700,34670,220,0.64%,2015/01/17,1393/10/27
34490,34430,34490,34450,50,0.15%,2015/01/15,1393/10/25
34530,34500,34580,34500,20,0.06%,2015/01/14,1393/10/24
34490,34380,34570,34520,20,0.06%,2015/01/13,1393/10/23
34690,34460,34690,34500,200,0.58%,2015/01/12,1393/10/22
34850,34660,34860,34700,160,0.46%,2015/01/11,1393/10/21
34930,34830,34960,34860,110,0.32%,2015/01/10,1393/10/20
35020,34960,35020,34970,30,0.09%,2015/01/08,1393/10/18
35140,35000,35140,35000,130,0.37%,2015/01/07,1393/10/17
35260,35110,35260,35130,110,0.31%,2015/01/06,1393/10/16
35140,35130,35260,35240,120,0.34%,2015/01/05,1393/10/15
35220,35060,35330,35120,90,0.26%,2015/01/04,1393/10/14
35080,35080,35440,35210,250,0.72%,2015/01/03,1393/10/13
35000,34950,35000,34960,50,0.14%,2015/01/01,1393/10/11
35200,34920,35200,35010,200,0.57%,2014/12/30,1393/10/09
35500,35120,35560,35210,280,0.8%,2014/12/29,1393/10/08
35590,35440,35640,35490,40,0.11%,2014/12/28,1393/10/07
35560,35480,35740,35530,140,0.4%,2014/12/27,1393/10/06
35580,35390,35580,35390,200,0.57%,2014/12/25,1393/10/04
35680,35500,35720,35590,30,0.08%,2014/12/24,1393/10/03
35580,35550,35610,35560,490,1.4%,2014/12/22,1393/10/01
35130,35060,35130,35070,130,0.37%,2014/12/20,1393/09/29
35010,34940,35050,34940,60,0.17%,2014/12/18,1393/09/27
34910,34910,35140,35000,70,0.2%,2014/12/17,1393/09/26
34750,34750,35100,34930,130,0.37%,2014/12/16,1393/09/25
34110,33800,34830,34800,700,2.05%,2014/12/15,1393/09/24
34920,34000,35010,34100,160,0.47%,2014/12/14,1393/09/23
34230,34220,34260,34260,40,0.12%,2014/12/11,1393/09/20
34180,34140,34310,34220,30,0.09%,2014/12/10,1393/09/19
33990,33920,34210,34190,180,0.53%,2014/12/09,1393/09/18
34210,33990,34280,34010,240,0.71%,2014/12/08,1393/09/17
34320,34090,34640,34250,90,0.26%,2014/12/07,1393/09/16
33500,33470,34170,34160,480,1.43%,2014/12/06,1393/09/15
33690,33680,33700,33680,20,0.06%,2014/12/04,1393/09/13
33660,33590,33720,33700,30,0.09%,2014/12/03,1393/09/12
33560,33550,33770,33670,90,0.27%,2014/12/02,1393/09/11
33680,33370,33840,33580,90,0.27%,2014/12/01,1393/09/10
34600,33580,34600,33670,940,2.79%,2014/11/30,1393/09/09
34180,34000,35300,34610,1360,4.09%,2014/11/29,1393/09/08
33210,33200,33260,33250,60,0.18%,2014/11/27,1393/09/06
32910,32910,33210,33190,290,0.88%,2014/11/26,1393/09/05
32630,32630,32950,32900,280,0.86%,2014/11/25,1393/09/04
32570,32520,32620,32620,60,0.18%,2014/11/24,1393/09/03
32420,32410,32650,32560,160,0.49%,2014/11/23,1393/09/02
32360,32320,32460,32400,90,0.28%,2014/11/22,1393/09/01
32540,32480,32540,32490,40,0.12%,2014/11/20,1393/08/29
32510,32480,32530,32530,30,0.09%,2014/11/19,1393/08/28
32560,32460,32560,32500,60,0.18%,2014/11/18,1393/08/27
32440,32440,32580,32560,100,0.31%,2014/11/17,1393/08/26
32450,32440,32470,32460,10,0.03%,2014/11/16,1393/08/25
32460,32400,32470,32470,80,0.25%,2014/11/15,1393/08/24
32580,32550,32580,32550,10,0.03%,2014/11/13,1393/08/22
32570,32550,32600,32560,20,0.06%,2014/11/12,1393/08/21
32560,32500,32600,32580,-,-,2014/11/11,1393/08/20
32500,32470,32590,32580,40,0.12%,2014/11/10,1393/08/19
32470,32400,32540,32540,60,0.18%,2014/11/09,1393/08/18
